p length multiplicity
8597	8596	1
8599	8598	1
8609	8608	1
8623	8622	1
8627	4313	2
8629	4314	2
8641	2160	4
8647	8646	1
8663	4331	2
8669	8668	1
8677	723	12
8681	1240	7
8689	4344	2
8693	8692	1
8699	4349	2
8707	2902	3
8713	4356	2
8719	8718	1
8731	8730	1
8737	182	48
8741	8740	1
8747	4373	2
8753	8752	1
8761	4380	2
8779	418	21
8783	4391	2
8803	2934	3
8807	4403	2
8819	4409	2
8821	4410	2
8831	883	10
8837	8836	1
8839	8838	1
8849	8848	1
8861	8860	1
8863	8862	1
8867	4433	2
8887	8886	1
8893	494	18
8923	8922	1
8929	744	12
8933	1276	7
8941	4470	2
8951	25	358
8963	4481	2
8969	8968	1
8971	8970	1
8999	4499	2
9001	1500	6
9007	9006	1
9011	901	10
9013	2253	4
9029	9028	1
9041	9040	1
9043	9042	1
9049	4524	2
9059	647	14
9067	9066	1
9091	9090	1
9103	3034	3
9109	138	66
9127	9126	1
9133	2283	4
9137	9136	1
9151	9150	1
9157	1526	6
9161	9160	1
9173	9172	1
9181	1530	6
9187	9186	1
9199	9198	1
9203	4601	2
9209	9208	1
9221	1844	5
9227	4613	2
9239	4619	2
9241	1155	8
9257	9256	1
9277	773	12
9281	9280	1
9283	9282	1
9293	9292	1
9311	4655	2
9319	9318	1
9323	4661	2
9337	2334	4
9341	1868	5
9343	3114	3
9349	4674	2
9371	4685	2
9377	9376	1
9391	9390	1
9397	4698	2
9403	9402	1
9413	9412	1
9419	4709	2
9421	157	60
9431	4715	2
9433	4716	2
9437	1348	7
9439	3146	3
9461	9460	1
9463	9462	1
9467	4733	2
9473	9472	1
9479	4739	2
9491	4745	2
9497	9496	1
9511	9510	1
9521	9520	1
9533	9532	1
9539	4769	2
9547	9546	1
9551	4775	2
9587	4793	2
9601	75	128
9613	801	12
9619	3206	3
9623	4811	2
9629	9628	1
9631	9630	1
9643	9642	1
9649	4824	2
9661	345	28
9677	9676	1
9679	9678	1
9689	9688	1
9697	4848	2
9719	4859	2
9721	4860	2
9733	4866	2
9739	9738	1
9743	4871	2
9749	9748	1
9767	4883	2
9769	444	22
9781	4890	2
9787	9786	1
9791	4895	2
9803	4901	2
9811	9810	1
9817	1636	6
9829	2457	4
9833	9832	1
9839	4919	2
9851	197	50
9857	896	11
9859	3286	3
9871	9870	1
9883	9882	1
9887	4943	2
9901	825	12
9907	9906	1
9923	4961	2
9929	9928	1
9931	3310	3
9941	1420	7
9949	1658	6
9967	9966	1
9973	831	12
